name,visitors
Chrome,528
Safari,273
Microsoft Edge,110
Firefox,65
Mobile App,27
Samsung Browser,12
Opera,5
(not set),3
Yandex Browser,3
Android Browser,1
Chromium,1
Ecosia,1
Maxthon,1
UC Browser,1
Whale Browser,1
