name,version,visitors
Windows,10,405
Mac,10.15,212
iOS,18.7,183
Android,10,106
GNU/Linux,(not set),38
iOS,18.6,21
iOS,26.2,7
iOS,26.3,7
Android,16,6
iOS,18.5,6
Android,14,5
iOS,26.1,5
iOS,17.5,4
Android,11,3
Android,15,3
Android,6.0,3
iOS,10.3,2
iOS,18.4,2
Android,7.0,2
Android,(not set),1
Windows,10.0,1
Mac,10.11,1
Android,12,1
Mac,14.4,1
iOS,17.4,1
iOS,17.6,1
iOS,18.2,1
iOS,26.0,1
iOS,26.4,1
Android,9,1
Windows,Server 2003,1
